Name,Category,TimeRare,TimeMedium,TimeWellDone,CueRare,CueMedium,CueWellDone,RiskNote,ServingTip,Technique,Overtime,Midpoint
"🥩 牛胸口油","肉类","120","180","240","脂肪未缩","脂肪受热紧缩打卷、逼出油脂","发硬","","脂肪受热紧缩打卷、逼出多余油脂，入口嘎吱脆香",脂肪受热紧缩打卷,hard,
"🍥 面筋球","豆制品类","15","30","45","未吸汁","快速吸附上层辣油与香气","吸饱汤汁","","用筷子戳小洞压入沸油，快速吸附上层辣油与香气即起",筷子戳小洞压入沸油,hard,
"🍡 芝士年糕","豆制品类","120","180","240","开始变软","浮于汤面且变软、按压回弹","软塌","","浮于汤面且变软，筷子按压表面有明显回弹和内部流心感",浮于汤面按压有回弹,hard,
"🍥 鱼籽福袋","经典火锅菜","240","300","360","外层豆皮未软","外层豆皮完全变软膨大、内部滚烫","更软","包心类需确认内心热透","外层豆皮完全变软膨大、内部鱼籽肉馅滚烫受热熟透",外层豆皮变软膨大、内部滚烫,hard,
"🦑 墨鱼仔","海鲜类","120","180","240","圆肚未胀","圆肚胀鼓、小触角内蜷成球状","发硬","","圆肚胀鼓、小触角紧密内蜷成球状，咬之爆汁爽脆",圆肚胀鼓、触角内蜷成球,hard,0.5
"🥩 猪肚丝","肉类","90","120","150","肚丝未变白","变白卷曲微挺","发硬","生鲜肚丝偏生未充分加热","生鲜肚丝变白卷曲微挺即熟，熟肚丝烫1分钟即可",变白卷曲微挺即熟,hard,
"🌶️ 香菜牛肉","肉类","60","90","120","外层肉卷未变灰","外层肉卷变灰断生、内部香菜带生脆","肉质发柴","裹浆较厚，中心需时更久","外层肉卷变灰断生、内部香菜尚带生脆气时捞出",外层变灰断生、内部香菜带生脆,hard,
"🐟 黄辣丁","海鲜类","300","360","420","鱼鳍未立","鱼鳍立起、鱼皮微开裂","肉离骨发硬","务必煮透（寄生虫风险）","小火煨煮至鱼鳍立起、鱼皮微开裂、肉质极嫩滑",小火煨煮至鱼鳍立起,hard,0.5
"🥒 冬瓜","蔬菜类","180","240","300","瓜肉未透","瓜肉边缘完全透明软化","软烂","无生食风险，按口感选档","瓜肉边缘完全透明软化，入口化水吸油",瓜肉边缘完全透明软化,hard,0.5
"🌿 西洋菜","蔬菜类","15","30","45","入汤未变色","变绿、清爽","软烂","无生食风险，按口感选档","沸汤快捞，变绿即食，清爽解腻",沸汤快捞，变绿即食,hard,
"🐔 鸭心","肉类","120","180","240","花刀未张开","花刀完全张开呈球状、深红褪去","发硬","内脏类，偏生未充分加热","花刀完全张开呈球状、深红褪去微挺即可",花刀完全张开呈球状,hard,
"🥩 牛肚仁","肉类","60","90","120","未变白","变白挺起","发韧","表面短时加热，中心未充分烫透者慎食","厚实但极其脆嫩，变白挺起即可",变白挺起即可，久煮发韧,hard,
"🐔 鸭掌筋","肉类","120","180","240","筋条未缩","筋条遇热缩成透亮硬挺状","发硬","","筋条遇热缩成透亮硬挺状，耐嚼弹牙",筋条遇热缩成透亮硬挺,hard,
"🍄 羊肚菌","蔬菜类","180","240","300","菌腔未吸汁","菌腔吸饱汤汁膨软、菌褶微缩","软烂","建议煮透","菌腔吸饱汤汁膨软，菌褶微缩、香气四溢即可捞起",菌腔吸饱汤汁膨软,hard,0.5
"🐔 鸭掌","经典火锅菜","180","240","300","胶质开始软","胶质软糯、晶莹剔透","更烂","禽类务必全熟","已熟制的脱骨鸭掌，沸汤透热后胶质化开，入口即化软烂",沸汤透热后胶质化开,hard,
"🐟 乌鱼片","海鲜类","30","45","60","遇热未泛白","薄鱼片极速泛白蜷曲","肉质发紧","水产建议全熟","薄鱼片遇沸汤极速泛白蜷曲即熟",薄鱼片遇沸汤极速泛白,hard,
"🌭 甜香肠","经典火锅菜","180","240","300","肠体未胀","肠体两头爆裂开花、表皮微胀焦亮","更韧","肉灌制品务必热透","肠体两头爆裂开花、表皮微胀焦亮即可，甜咸爆汁",肠体两头爆裂开花即捞,hard,
"🌊 海带芽","蔬菜类","20","30","45","入汤未变色","变翠绿、软亮","软烂","无生食风险，按口感选档","薄嫩无比，入沸汤变翠绿色即起",入沸汤变翠绿色即起,hard,
"🦐 基围虾","海鲜类","45","60","90","虾身开始变红弯曲","虾身弯曲成C形、通体深红","卷成O形、肉质发紧","甲壳类，偏生有副溶血性弧菌风险","（鲜虾）虾身弯曲变红",虾身弯曲成C形即捞,hard,0.5
"🦐 黑虎虾","海鲜类","45","60","90","虾身开始变红弯曲","虾身弯曲成C形、通体深红","卷成O形、肉质发紧","甲壳类，偏生有副溶血性弧菌风险","（鲜虾）虾身弯曲变红",虾身弯曲成C形即捞,hard,0.5
"🥩 牛肉丸","丸滑类","300","360","420","受热未膨胀","完全膨胀浮起、轻按有弹性阻力","更紧实","猪肉制品偏生未充分加热","受热完全膨胀浮起、筷子轻按有弹性阻力、咬开爆汁即成",完全膨胀浮起、轻按有弹性,hard,
"🐔 鸭肾","肉类","180","240","300","球体未鼓圆","球体鼓圆、内部蛋白凝固","发硬","务必煮透（寄生虫风险）","必须完全煮透至球体鼓圆、内部蛋白彻底凝固无生红",煮透至球体鼓圆、蛋白凝固,hard,
